O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,CENSUS,WITHD,LST NM,FST NM,
O,65133,CAD,102,601,Computer Aided Drafting/2D II,3,TR,0300PM,0545PM,FLARMR,RP148,18,26-Mar-19,9-May-19,28-Jan-19,1-Mar-19,"Hicks, Laura",,
O,65134,CAD,102,602,Computer Aided Drafting/2D II,3,MW,0600PM,0900PM,FLARMR,RP148,18,25-Mar-19,13-May-19,28-Jan-19,1-Mar-19,"Hicks, Laura",,
O,65135,CAD,102,641,Computer Aided Drafting/2D II,3,MW,0800AM,1000AM,FLARMR,RP148,18,25-Mar-19,13-May-19,28-Jan-19,1-Mar-19,"Romero, Claudia",,
O,65135,CAD,102,641,Computer Aided Drafting/2D II,3,,,,FLARMR,ONLINE,,25-Mar-19,13-May-19,28-Jan-19,1-Mar-19,"Romero, Claudia",,
O,62551,CAD,105,641,AutoCAD for Interiors,4,TR,0800AM,1000AM,FLARMR,RP148,18,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,"Romero, Claudia",,
O,62551,CAD,105,641,AutoCAD for Interiors,4,,,,FLARMR,ONLINE,,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,"Romero, Claudia",,
O,62430,CAD,115,601,Sketchup,3,TR,1015AM,1215PM,FLARMR,RP148,15,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,"Work, Robert",,
O,62394,CAD,201,601,CAD /Custom,3,MW,0500PM,0715PM,FLARMR,RP145,15,23-Jan-19,8-Apr-19,1-Feb-19,23-Mar-19,"Cherry, Lester",,
O,63811,CAD,202,641,Computer Aided Drafting / 3D,3,TR,1015AM,1230PM,FLARMR,RP145,15,26-Feb-19,9-May-19,8-Mar-19,27-Apr-19,"Yates, Chris",,
O,63811,CAD,202,641,Computer Aided Drafting / 3D,3,,,,FLARMR,ONLINE,,26-Feb-19,9-May-19,8-Mar-19,27-Apr-19,"Yates, Chris",,
O,64219,CAD,216,601,Advanced Sketchup,3,TR,1245PM,0245PM,FLARMR,RP145,12,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,"Work, Robert",,
O,65136,CAD,220,631,ADV 3DS Max Character Modeling,3,TR,0300PM,0445PM,FLARMR,RP145,,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,Staff,,
O,65137,CAD,221,621,Adv 3Ds Max Arch Visualization,3,TR,0300PM,0445PM,FLARMR,RP145,,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,61277,CAD,224,641,Revit Architecture,3,MW,1015AM,1200PM,FLARMR,RP148,18,23-Jan-19,13-May-19,6-Feb-19,20-Apr-19,"Yates, Chris",,
O,61277,CAD,224,641,Revit Architecture,3,,,,FLARMR,ONLINE,,23-Jan-19,13-May-19,6-Feb-19,20-Apr-19,"Yates, Chris",,
O,62813,CAD,227,641,Advanced Revit Architecture,3,TR,0800AM,0930AM,FLARMR,RP145,16,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,"Yates, Chris",,
O,62813,CAD,227,641,Advanced Revit Architecture,3,,,,FLARMR,ONLINE,,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,"Yates, Chris",,
O,65138,CAD,233,601,Civil 3D,3,MW,0400PM,0545PM,FLARMR,RP148,,23-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63813,CAD,255,601,SolidWorks/Mechanical ,3,MW,0730PM,0915PM,FLARMR,RP145,15,23-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,65139,CAD,259,601,Advanced Solidworks,3,TR,0730PM,0915PM,FLARMR,RP145,10,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63814,CAD,262,641,3D Printing,3,MW,0800AM,1000AM,FLARMR,RP145,10,23-Jan-19,13-May-19,6-Feb-19,20-Apr-19,"Yates, Chris",,
O,63814,CAD,262,641,3D Printing,3,,,,FLARMR,ONLINE,,23-Jan-19,13-May-19,6-Feb-19,20-Apr-19,"Yates, Chris",,
O,64566,CAD,264,641,3D Scanning and Modeling,4,MW,1015AM,1230PM,FLARMR,RP145,8,23-Jan-19,13-May-19,6-Feb-19,20-Apr-19,"Romero, Claudia",,
O,64566,CAD,264,641,3D Scanning and Modeling,4,,,,FLARMR,ONLINE,,23-Jan-19,13-May-19,6-Feb-19,20-Apr-19,"Romero, Claudia",,
O,64567,CAD,266,641,Advanced 3D Printing,3,MW,1245PM,0245PM,FLARMR,RP145,6,23-Jan-19,13-May-19,6-Feb-19,20-Apr-19,"Yates, Chris",,
O,64567,CAD,266,641,Advanced 3D Printing,3,,,,FLARMR,ONLINE,,23-Jan-19,13-May-19,6-Feb-19,20-Apr-19,"Yates, Chris",,
O,64220,CAD,289,601,Capstone,3,,,,FLARMR,TBA,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,"Romero, Claudia",,
O,64813,CON,110,641,"Intro to Construction, Part 1",4,TR,0100pm,0320pm,FLARMR,RP139,12,22-Jan-19,9-May-19,,,,,
O,64813,CON,110,641,"Intro to Construction, Part 1",4,,,,FLARMR,ONLINE,,22-Jan-19,9-May-19,,,,,
O,65140,CON,111,641,"Intro to Construction, Part 2",4,TR,0330pm,0550pm,FLARMR,RP150,12,22-Jan-19,9-May-19,,,,,
O,65140,CON,111,641,"Intro to Construction, Part 2",4,,,,FLARMR,ONLINE,,22-Jan-19,9-May-19,,,,,
O,65141,OSH,127,601,10HR Con Indstr Standards,1,,,,FLARMR,ONLINE?,12,22-Jan-19,13-May-19,,,,,
O,63817,DAN,105,631,Hip Hop Dance I,1,MW,1100AM,1150AM,FLARMR,RP106,15,12-Feb-19,13-May-19,24-Feb-19,24-Apr-19,Weber,Analia,
O,63818,DAN,106,621,Hip Hop Dance II,1,MW,1100AM,1150AM,FLARMR,RP106,5,12-Feb-19,13-May-19,24-Feb-19,24-Apr-19,Weber,Analia,
O,61789,DAN,111,631,Modern Dance I,1,TR,0900AM,1000AM,FLARMR,RP106,15,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,Garifi,Susan,
,,DAN,112,621,Modern Dance II,2,TR,0900AM,1040AM,FLARMR,RP106,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,Garifi,Susan,
O,65143,DAN,131,631,Ballet I,1,MW,0900AM,1000AM,FLARMR,RP106,15,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,Weber,Analia,
O,65144,DAN,132,621,Ballet II,2,MW,0900AM,1040AM,FLARMR,RP106,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,Weber,Analia,
O,64568,DAN,143,631,Tap I,1,TR,1100AM,1150AM,FLARMR,RP106,15,12-Feb-19,13-May-19,24-Feb-19,24-Apr-19,Garifi,Susan,
O,63055,EGT,201,601,Engineering Materials,3,MW,1230PM,0150PM,FLARMR,LBP120,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,65145,EGT,243,601,CIVIL/SURVEY DRAFTING II,3,TR,0600PM,0745PM,FLARMR,RP148,8,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64738,HUM,103,601,Intro to Film Art: GT-AH2,3,W,0700PM,0940PM,FLARMR,BP111,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60562,HUM,115,601,World Mythology: GT-AH2,3,TR,0835AM,0950AM,FLARMR,BP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
